Iteration 10000, batch loss: 0.011956, training accuracy: 0.16000
Iteration 1100000, batch loss: 0.004569, training accuracy: 0.72000
Iteration 1110000, batch loss: 0.004695, training accuracy: 0.70000
Iteration 1120000, batch loss: 0.004084, training accuracy: 0.78000
Iteration 1130000, batch loss: 0.004315, training accuracy: 0.72000
Iteration 1140000, batch loss: 0.005083, training accuracy: 0.68000
Iteration 1150000, batch loss: 0.004288, training accuracy: 0.72000
Iteration 1160000, batch loss: 0.003947, training accuracy: 0.82000
Iteration 1170000, batch loss: 0.003127, training accuracy: 0.86000
Iteration 1180000, batch loss: 0.003963, training accuracy: 0.76000
Iteration 1190000, batch loss: 0.005333, training accuracy: 0.64000
Iteration 1200000, batch loss: 0.004565, training accuracy: 0.72000
Iteration 1210000, batch loss: 0.004143, training accuracy: 0.76000
Iteration 1220000, batch loss: 0.004623, training accuracy: 0.70000
Iteration 1230000, batch loss: 0.003857, training accuracy: 0.80000
Iteration 1240000, batch loss: 0.004067, training accuracy: 0.74000
Iteration 1250000, batch loss: 0.003801, training accuracy: 0.74000
Iteration 1260000, batch loss: 0.004440, training accuracy: 0.72000
Iteration 1270000, batch loss: 0.003461, training accuracy: 0.74000
Iteration 1280000, batch loss: 0.002997, training accuracy: 0.82000
Iteration 1290000, batch loss: 0.003299, training accuracy: 0.82000
Iteration 1300000, batch loss: 0.003907, training accuracy: 0.74000
Iteration 1310000, batch loss: 0.005570, training accuracy: 0.66000
Iteration 1320000, batch loss: 0.003800, training accuracy: 0.80000
Iteration 1330000, batch loss: 0.003605, training accuracy: 0.82000
Iteration 1340000, batch loss: 0.003818, training accuracy: 0.74000
Iteration 1350000, batch loss: 0.002976, training accuracy: 0.86000
Iteration 1360000, batch loss: 0.003736, training accuracy: 0.78000
Iteration 1370000, batch loss: 0.002709, training accuracy: 0.84000
Iteration 1380000, batch loss: 0.002945, training accuracy: 0.86000
Iteration 1390000, batch loss: 0.003256, training accuracy: 0.86000
Iteration 1400000, batch loss: 0.003831, training accuracy: 0.76000
Iteration 1410000, batch loss: 0.003161, training accuracy: 0.86000
Iteration 1420000, batch loss: 0.004356, training accuracy: 0.76000
Iteration 1430000, batch loss: 0.004035, training accuracy: 0.76000
Iteration 1440000, batch loss: 0.002765, training accuracy: 0.88000
Iteration 1450000, batch loss: 0.003623, training accuracy: 0.80000
Iteration 1460000, batch loss: 0.002272, training accuracy: 0.86000
Iteration 1470000, batch loss: 0.003051, training accuracy: 0.86000
Iteration 1480000, batch loss: 0.002202, training accuracy: 0.90000
Iteration 1490000, batch loss: 0.002482, training accuracy: 0.88000
Iteration 1500000, batch loss: 0.004013, training accuracy: 0.76000
Iteration 1510000, batch loss: 0.002589, training accuracy: 0.86000
Iteration 1520000, batch loss: 0.002449, training accuracy: 0.90000
Iteration 1530000, batch loss: 0.003120, training accuracy: 0.82000
Iteration 1540000, batch loss: 0.003511, training accuracy: 0.78000
Iteration 1550000, batch loss: 0.002535, training accuracy: 0.92000
Iteration 1560000, batch loss: 0.003009, training accuracy: 0.80000
Iteration 1570000, batch loss: 0.002323, training accuracy: 0.90000
Iteration 1580000, batch loss: 0.002437, training accuracy: 0.88000
Iteration 1590000, batch loss: 0.001977, training accuracy: 0.90000
Iteration 1600000, batch loss: 0.002511, training accuracy: 0.88000
Iteration 1610000, batch loss: 0.002171, training accuracy: 0.90000
Iteration 1620000, batch loss: 0.003597, training accuracy: 0.86000
Iteration 1630000, batch loss: 0.003391, training accuracy: 0.82000
Iteration 1640000, batch loss: 0.002166, training accuracy: 0.90000
Iteration 1650000, batch loss: 0.002108, training accuracy: 0.90000
Iteration 1660000, batch loss: 0.002094, training accuracy: 0.88000
Iteration 1670000, batch loss: 0.002727, training accuracy: 0.86000
Iteration 1680000, batch loss: 0.002882, training accuracy: 0.82000
Iteration 1690000, batch loss: 0.002108, training accuracy: 0.88000
Iteration 1700000, batch loss: 0.002499, training accuracy: 0.88000
Iteration 1710000, batch loss: 0.001811, training accuracy: 0.92000
Iteration 1720000, batch loss: 0.002054, training accuracy: 0.94000
Iteration 1730000, batch loss: 0.002502, training accuracy: 0.86000
Iteration 1740000, batch loss: 0.003039, training accuracy: 0.84000
Iteration 1750000, batch loss: 0.003501, training accuracy: 0.82000
Iteration 1760000, batch loss: 0.001914, training accuracy: 0.90000
Iteration 1770000, batch loss: 0.001854, training accuracy: 0.92000
Iteration 1780000, batch loss: 0.003046, training accuracy: 0.86000
Iteration 1790000, batch loss: 0.002002, training accuracy: 0.90000
Iteration 1800000, batch loss: 0.001556, training accuracy: 0.94000
Iteration 1810000, batch loss: 0.002963, training accuracy: 0.86000
Iteration 1820000, batch loss: 0.001922, training accuracy: 0.92000
Iteration 1830000, batch loss: 0.002272, training accuracy: 0.88000
Iteration 1840000, batch loss: 0.002868, training accuracy: 0.84000
Iteration 1850000, batch loss: 0.002233, training accuracy: 0.88000
Iteration 1860000, batch loss: 0.002337, training accuracy: 0.88000
Iteration 1870000, batch loss: 0.001512, training accuracy: 0.94000
Iteration 1880000, batch loss: 0.001979, training accuracy: 0.90000
Iteration 1890000, batch loss: 0.002197, training accuracy: 0.86000
Iteration 1900000, batch loss: 0.001857, training accuracy: 0.94000
Iteration 1910000, batch loss: 0.001945, training accuracy: 0.92000
Iteration 1920000, batch loss: 0.002524, training accuracy: 0.86000
Iteration 1930000, batch loss: 0.001710, training accuracy: 0.90000
Iteration 1940000, batch loss: 0.001603, training accuracy: 0.98000
Iteration 1950000, batch loss: 0.002007, training accuracy: 0.90000
Iteration 1960000, batch loss: 0.001283, training accuracy: 0.96000
Iteration 1970000, batch loss: 0.002007, training accuracy: 0.88000
Iteration 1980000, batch loss: 0.003026, training accuracy: 0.86000
Iteration 1990000, batch loss: 0.002659, training accuracy: 0.86000
Iteration 2000000, batch loss: 0.002152, training accuracy: 0.92000
Iteration 2010000, batch loss: 0.001729, training accuracy: 0.94000
Iteration 2020000, batch loss: 0.002136, training accuracy: 0.88000
Iteration 2030000, batch loss: 0.001562, training accuracy: 0.96000
Iteration 2040000, batch loss: 0.002371, training accuracy: 0.86000
Iteration 2050000, batch loss: 0.002046, training accuracy: 0.88000
Iteration 2060000, batch loss: 0.002120, training accuracy: 0.90000
Iteration 2070000, batch loss: 0.002929, training accuracy: 0.82000
Iteration 2080000, batch loss: 0.002209, training accuracy: 0.90000
Iteration 2090000, batch loss: 0.001046, training accuracy: 0.94000
Iteration 2100000, batch loss: 0.002552, training accuracy: 0.84000
Iteration 2110000, batch loss: 0.001737, training accuracy: 0.92000
Iteration 2120000, batch loss: 0.001610, training accuracy: 0.92000
Iteration 2130000, batch loss: 0.003212, training accuracy: 0.80000
Iteration 2140000, batch loss: 0.002397, training accuracy: 0.84000
Iteration 2150000, batch loss: 0.002356, training accuracy: 0.82000
Iteration 2160000, batch loss: 0.002609, training accuracy: 0.92000
Iteration 2170000, batch loss: 0.002005, training accuracy: 0.94000
Iteration 2180000, batch loss: 0.001712, training accuracy: 0.90000
Iteration 2190000, batch loss: 0.001007, training accuracy: 0.96000
Iteration 2200000, batch loss: 0.002279, training accuracy: 0.88000
Iteration 2210000, batch loss: 0.002056, training accuracy: 0.90000
Iteration 2220000, batch loss: 0.001864, training accuracy: 0.92000
Iteration 2230000, batch loss: 0.002701, training accuracy: 0.86000
Iteration 2240000, batch loss: 0.001593, training accuracy: 0.92000
Iteration 2250000, batch loss: 0.001330, training accuracy: 0.96000
Iteration 2260000, batch loss: 0.002172, training accuracy: 0.92000
Iteration 2270000, batch loss: 0.002113, training accuracy: 0.90000
Iteration 2280000, batch loss: 0.001004, training accuracy: 0.96000
Iteration 2290000, batch loss: 0.001811, training accuracy: 0.88000
Iteration 2300000, batch loss: 0.001203, training accuracy: 0.96000
Iteration 2310000, batch loss: 0.001756, training accuracy: 0.96000
Iteration 2320000, batch loss: 0.002060, training accuracy: 0.88000
Iteration 2330000, batch loss: 0.002089, training accuracy: 0.96000
Iteration 2340000, batch loss: 0.001738, training accuracy: 0.94000
Iteration 2350000, batch loss: 0.001887, training accuracy: 0.96000
Iteration 2360000, batch loss: 0.001850, training accuracy: 0.90000
Iteration 2370000, batch loss: 0.001120, training accuracy: 0.96000
Iteration 2380000, batch loss: 0.001868, training accuracy: 0.94000
Iteration 2390000, batch loss: 0.001736, training accuracy: 0.94000
Iteration 2400000, batch loss: 0.001867, training accuracy: 0.96000
Iteration 2410000, batch loss: 0.002096, training accuracy: 0.90000
Iteration 2420000, batch loss: 0.002081, training accuracy: 0.86000
Iteration 2430000, batch loss: 0.001919, training accuracy: 0.90000
Iteration 2440000, batch loss: 0.001530, training accuracy: 0.92000
Iteration 2450000, batch loss: 0.002252, training accuracy: 0.86000
Iteration 2460000, batch loss: 0.001163, training accuracy: 0.94000
Iteration 2470000, batch loss: 0.001828, training accuracy: 0.92000
Iteration 2480000, batch loss: 0.001327, training accuracy: 0.94000
Iteration 2490000, batch loss: 0.001088, training accuracy: 0.96000
Iteration 2500000, batch loss: 0.001598, training accuracy: 0.92000
Iteration 2510000, batch loss: 0.001098, training accuracy: 0.94000
Iteration 2520000, batch loss: 0.002982, training accuracy: 0.80000
Iteration 2530000, batch loss: 0.001680, training accuracy: 0.90000
Iteration 2540000, batch loss: 0.001876, training accuracy: 0.88000
Iteration 2550000, batch loss: 0.001557, training accuracy: 0.92000
Iteration 2560000, batch loss: 0.001179, training accuracy: 0.96000
Iteration 2570000, batch loss: 0.001483, training accuracy: 0.92000
Iteration 2580000, batch loss: 0.002381, training accuracy: 0.84000
Iteration 2590000, batch loss: 0.001191, training accuracy: 0.94000
Iteration 2600000, batch loss: 0.001515, training accuracy: 0.90000
Iteration 2610000, batch loss: 0.000816, training accuracy: 0.98000
Iteration 2620000, batch loss: 0.001180, training accuracy: 0.96000
Iteration 2630000, batch loss: 0.001065, training accuracy: 0.96000
Iteration 2640000, batch loss: 0.001014, training accuracy: 0.98000
Iteration 2650000, batch loss: 0.001327, training accuracy: 0.92000
Iteration 2660000, batch loss: 0.001214, training accuracy: 0.96000
Iteration 2670000, batch loss: 0.001290, training accuracy: 0.94000
Iteration 2680000, batch loss: 0.001331, training accuracy: 0.96000
Iteration 2690000, batch loss: 0.001699, training accuracy: 0.92000
Iteration 2700000, batch loss: 0.000672, training accuracy: 0.98000
Iteration 2710000, batch loss: 0.001531, training accuracy: 0.92000
Iteration 2720000, batch loss: 0.000662, training accuracy: 1.00000
Iteration 2730000, batch loss: 0.001424, training accuracy: 0.92000
Iteration 2740000, batch loss: 0.000443, training accuracy: 1.00000
Iteration 2750000, batch loss: 0.001319, training accuracy: 0.94000
Iteration 2760000, batch loss: 0.001593, training accuracy: 0.90000
Iteration 2770000, batch loss: 0.001075, training accuracy: 0.96000
Iteration 2780000, batch loss: 0.001496, training accuracy: 0.92000
Iteration 2790000, batch loss: 0.001473, training accuracy: 0.90000
Iteration 2800000, batch loss: 0.001098, training accuracy: 0.98000
Iteration 2810000, batch loss: 0.002153, training accuracy: 0.90000
Iteration 2820000, batch loss: 0.001136, training accuracy: 0.94000
Iteration 2830000, batch loss: 0.001619, training accuracy: 0.92000
Iteration 2840000, batch loss: 0.002249, training accuracy: 0.88000
Iteration 2850000, batch loss: 0.001195, training accuracy: 0.94000
Iteration 2860000, batch loss: 0.001524, training accuracy: 0.92000
Iteration 2870000, batch loss: 0.001474, training accuracy: 0.92000
Iteration 2880000, batch loss: 0.001731, training accuracy: 0.92000
Iteration 2890000, batch loss: 0.001801, training accuracy: 0.88000
Iteration 2900000, batch loss: 0.001671, training accuracy: 0.94000
Iteration 2910000, batch loss: 0.001528, training accuracy: 0.94000
Iteration 2920000, batch loss: 0.001008, training accuracy: 0.94000
Iteration 2930000, batch loss: 0.001474, training accuracy: 0.92000
Iteration 2940000, batch loss: 0.001788, training accuracy: 0.92000
Iteration 2950000, batch loss: 0.001568, training accuracy: 0.92000
Iteration 2960000, batch loss: 0.001780, training accuracy: 0.92000
Iteration 2970000, batch loss: 0.000890, training accuracy: 0.98000
Iteration 2980000, batch loss: 0.000701, training accuracy: 0.98000
Iteration 2990000, batch loss: 0.001345, training accuracy: 0.96000
Iteration 3000000, batch loss: 0.001755, training accuracy: 0.94000
Iteration 3010000, batch loss: 0.001649, training accuracy: 0.96000
Iteration 3020000, batch loss: 0.001541, training accuracy: 0.94000
Iteration 3030000, batch loss: 0.001224, training accuracy: 0.98000
Iteration 3040000, batch loss: 0.001580, training accuracy: 0.92000
Iteration 3050000, batch loss: 0.001178, training accuracy: 0.94000
Iteration 3060000, batch loss: 0.000985, training accuracy: 0.96000
Iteration 3070000, batch loss: 0.001740, training accuracy: 0.88000
Iteration 3080000, batch loss: 0.001502, training accuracy: 0.90000
Iteration 3090000, batch loss: 0.001721, training accuracy: 0.88000
Iteration 3100000, batch loss: 0.001056, training accuracy: 0.96000
Iteration 3110000, batch loss: 0.001798, training accuracy: 0.88000
Iteration 3120000, batch loss: 0.000963, training accuracy: 0.98000
Iteration 3130000, batch loss: 0.000527, training accuracy: 1.00000
Iteration 3140000, batch loss: 0.001518, training accuracy: 0.92000
Iteration 3150000, batch loss: 0.000950, training accuracy: 0.96000
Iteration 3160000, batch loss: 0.000658, training accuracy: 0.98000
Iteration 3170000, batch loss: 0.001049, training accuracy: 0.96000
Iteration 3180000, batch loss: 0.000841, training accuracy: 0.98000
Iteration 3190000, batch loss: 0.001628, training accuracy: 0.94000
