Iteration 10000, batch loss: 0.015702, training accuracy: 0.08000
Iteration 1040000, batch loss: 0.001408, training accuracy: 0.96000
Iteration 1050000, batch loss: 0.002358, training accuracy: 0.90000
Iteration 1060000, batch loss: 0.001419, training accuracy: 0.98000
Iteration 1070000, batch loss: 0.001271, training accuracy: 0.98000
Iteration 1080000, batch loss: 0.001286, training accuracy: 0.94000
Iteration 1090000, batch loss: 0.000850, training accuracy: 1.00000
Iteration 1100000, batch loss: 0.001534, training accuracy: 0.92000
Iteration 1110000, batch loss: 0.000909, training accuracy: 1.00000
Iteration 1120000, batch loss: 0.000875, training accuracy: 0.98000
Iteration 1130000, batch loss: 0.001009, training accuracy: 0.98000
Iteration 1140000, batch loss: 0.000716, training accuracy: 1.00000
Iteration 1150000, batch loss: 0.001865, training accuracy: 0.94000
Iteration 1160000, batch loss: 0.001641, training accuracy: 0.92000
Iteration 1170000, batch loss: 0.000241, training accuracy: 1.00000
